"Condition","acc","accept_status","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","checkbox_status","clock_backend","color_backend","compensation","coordinates","correct","correct_Welcome","correct_button","correct_button_new_mousetrap_response","correct_instructions","correct_new_mousetrap_response","count_Welcome","count_block_sequence","count_end_of_experiment","count_end_of_practice","count_experiment","count_experimental_loop","count_experimental_setup","count_instructions","count_logger","count_new_form_base","count_new_form_consent","count_new_form_multiple_choice","count_new_form_multiple_choice_1","count_new_form_multiple_choice_2","count_new_form_multiple_choice_3","count_new_form_multiple_choice_4","count_new_form_multiple_choice_4_1","count_new_form_text_display","count_new_form_text_input","count_new_mousetrap_response","count_new_sampler","count_new_sequence","count_new_synth","count_new_synth_1","count_new_synth_2","count_practice_loop","count_practice_setup","count_reset_feedback","count_trial_sequence","count_trial_stimuli","count_trial_stimuli_1","count_trial_stimuli_2","count_trial_stimuli_3","datetime","description","disable_garbage_collection","experiment_file","experiment_path","expyriment_opengl","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","initiation_time","initiation_time_new_mousetrap_response","keyboard_backend","left_figure","live_row","live_row_practice_loop","live_row_practice_setup","logfile","mouse_backend","opensesame_codename","opensesame_version","practice","pygame_doublebuf","repeat_cycle","response","response_Welcome","response_end_of_experiment","response_end_of_practice","response_instructions","response_new_mousetrap_response","response_time","response_time_Welcome","response_time_end_of_experiment","response_time_end_of_practice","response_time_instructions","response_time_new_mousetrap_response","right_figure","round_decimals","sampler_backend","sound","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_Welcome","time_block_sequence","time_end_of_experiment","time_end_of_practice","time_experiment","time_experimental_loop","time_experimental_setup","time_instructions","time_logger","time_new_form_base","time_new_form_consent","time_new_form_multiple_choice","time_new_form_multiple_choice_1","time_new_form_multiple_choice_2","time_new_form_multiple_choice_3","time_new_form_multiple_choice_4","time_new_form_multiple_choice_4_1","time_new_form_text_display","time_new_form_text_input","time_new_mousetrap_response","time_new_sampler","time_new_sequence","time_new_synth","time_new_synth_1","time_new_synth_2","time_practice_loop","time_practice_setup","time_reset_feedback","time_trial_sequence","time_trial_stimuli","time_trial_stimuli_1","time_trial_stimuli_2","time_trial_stimuli_3","timestamps_new_mousetrap_response","title","total_correct","total_response_time","total_responses","uniform_coordinates","width","word","xpos_new_mousetrap_response","ypos_new_mousetrap_response"
"incongruent","100","yes","100","1462","1462","black","yes","xpyriment","Jeg har læst ovenstående information og har modtaget svar på alle spørgsmål jeg måtte have.","legacy","legacy","0","uniform","1","undefined","left_button","left_button","undefined","1","0","0","0","0","0","0","0","0","0","NA","0","0","0","NA","0","0","0","0","0","0","0","NA","1","NA","NA","0","0","0","0","0","1","0","0","Wed Dec  7 13:50:01 2022","A template containing a practice and an experimental phase","yes","mousetracking-exp.osexp","/Users/jakobthygesen/Desktop/Cognitive Science/3rd semester/Perception and action/PercActExam","no","no","mono","no","18","no","white","no","Enig","no","768","200","200","legacy","computer_ko.jpg","0","0","0","/Users/jakobthygesen/Desktop/Cognitive Science/3rd semester/Perception and action/PercActExam/data/subject-0.csv","xpyriment","Lentiform Loewenfeld","3.3.12","yes","no","0","left_button","space","NA","NA","space","left_button","1462","1038","NA","NA","1286","1462","kommode_ko.jpg","2","legacy","computer_ko.wav","1024","2","48000","-16","experiment","0","even","1408","13629","NA","NA","1350","NA","NA","12338","16947","NA","11093","NA","NA","NA","NA","NA","NA","10219","2452","15483","15483","NA","15378","NA","NA","13625","13629","NA","13664","13668","15178","15483","14971","[15484.0, 15494.0, 15504.0, 15514.0, 15524.0, 15534.0, 15544.0, 15554.0, 15564.0, 15574.0, 15584.0, 15594.0, 15604.0, 15614.0, 15624.0, 15634.0, 15644.0, 15654.0, 15664.0, 15674.0, 15684.0, 15694.0, 15704.0, 15714.0, 15724.0, 15734.0, 15744.0, 15754.0, 15764.0, 15774.0, 15784.0, 15794.0, 15804.0, 15814.0, 15824.0, 15834.0, 15844.0, 15854.0, 15864.0, 15874.0, 15884.0, 15894.0, 15904.0, 15914.0, 15924.0, 15934.0, 15944.0, 15954.0, 15964.0, 15974.0, 15984.0, 15994.0, 16004.0, 16014.0, 16024.0, 16034.0, 16044.0, 16054.0, 16067.0, 16077.0, 16087.0, 16097.0, 16107.0, 16117.0, 16127.0, 16137.0, 16147.0, 16157.0, 16167.0, 16177.0, 16187.0, 16197.0, 16207.0, 16217.0, 16227.0, 16237.0, 16247.0, 16257.0, 16267.0, 16277.0, 16287.0, 16297.0, 16307.0, 16317.0, 16327.0, 16337.0, 16347.0, 16357.0, 16367.0, 16377.0, 16387.0, 16397.0, 16407.0, 16417.0, 16427.0, 16437.0, 16447.0, 16457.0, 16467.0, 16477.0, 16487.0, 16497.0, 16507.0, 16517.0, 16527.0, 16537.0, 16547.0, 16557.0, 16567.0, 16577.0, 16587.0, 16597.0, 16607.0, 16617.0, 16627.0, 16637.0, 16647.0, 16657.0, 16667.0, 16677.0, 16687.0, 16697.0, 16707.0, 16717.0, 16727.0, 16737.0, 16747.0, 16757.0, 16767.0, 16777.0, 16787.0, 16797.0, 16807.0, 16817.0, 16827.0, 16837.0, 16847.0, 16857.0, 16867.0, 16877.0, 16887.0, 16897.0, 16907.0, 16917.0, 16927.0, 16937.0, 16946]","Extended template","1","1462","1","yes","1024","Hue","[0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -2.0, -2.0, -3.0, -4.0, -5.0, -8.0, -12.0, -13.0, -16.0, -18.0, -24.0, -28.0, -33.0, -46.0, -54.0, -69.0, -83.0, -112.0, -131.0, -148.0, -185.0, -201.0, -216.0, -228.0, -245.0, -253.0, -260.0, -274.0, -281.0, -290.0, -297.0, -309.0, -314.0, -320.0, -329.0, -334.0, -338.0, -343.0, -352.0, -356.0, -358.0, -364.0, -366.0, -367.0, -369.0, -373.0, -375.0, -377.0, -381.0, -382.0, -384.0, -385.0, -388.0, -389.0, -390.0, -390.0, -390.0, -390.0, -390.0, -390.0, -390.0]","[288, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 287.0, 285.0, 282.0, 280.0, 276.0, 272.0, 258.0, 251.0, 244.0, 231.0, 224.0, 218.0, 213.0, 201.0, 195.0, 187.0, 165.0, 150.0, 131.0, 112.0, 77.0, 52.0, 35.0, -5.0, -20.0, -33.0, -43.0, -61.0, -68.0, -74.0, -84.0, -89.0, -95.0, -101.0, -111.0, -116.0, -121.0, -127.0, -131.0, -134.0, -137.0, -142.0, -146.0, -148.0, -153.0, -155.0, -157.0, -160.0, -166.0, -170.0, -172.0, -176.0, -179.0, -181.0, -183.0, -187.0, -189.0, -189.0, -190.0, -190.0, -190.0, -190.0, -190.0, -190.0]"
"incongruent","50","yes","50","1223.5","1223.5","black","yes","xpyriment","Jeg har læst ovenstående information og har modtaget svar på alle spørgsmål jeg måtte have.","legacy","legacy","0","uniform","0","undefined","right_button","right_button","undefined","0","0","0","0","0","0","0","0","0","1","NA","0","0","0","NA","0","0","0","0","0","1","1","NA","3","NA","NA","0","0","0","1","1","3","1","1","Wed Dec  7 13:50:01 2022","A template containing a practice and an experimental phase","yes","mousetracking-exp.osexp","/Users/jakobthygesen/Desktop/Cognitive Science/3rd semester/Perception and action/PercActExam","no","no","mono","no","18","no","white","no","Enig","no","768","350","350","legacy","klatkage_kla.jpg","1","0","1","/Users/jakobthygesen/Desktop/Cognitive Science/3rd semester/Perception and action/PercActExam/data/subject-0.csv","xpyriment","Lentiform Loewenfeld","3.3.12","yes","no","0","left_button","space","NA","NA","space","left_button","985","1038","NA","NA","1286","985","klatresko_kla.jpg","2","legacy","klatresko_kla.wav","1024","2","48000","-16","experiment","0","even","1408","13629","NA","NA","1350","NA","NA","12338","19821","NA","11093","NA","NA","NA","NA","NA","NA","10219","2452","18833","18833","NA","18730","NA","NA","13625","13629","NA","16999","17002","18530","18832","18320","[18836.0, 18846.0, 18856.0, 18866.0, 18876.0, 18886.0, 18896.0, 18906.0, 18916.0, 18926.0, 18936.0, 18946.0, 18956.0, 18966.0, 18976.0, 18986.0, 18996.0, 19006.0, 19016.0, 19026.0, 19036.0, 19046.0, 19056.0, 19066.0, 19076.0, 19086.0, 19096.0, 19106.0, 19116.0, 19126.0, 19136.0, 19146.0, 19156.0, 19166.0, 19176.0, 19186.0, 19196.0, 19206.0, 19216.0, 19226.0, 19236.0, 19246.0, 19256.0, 19266.0, 19276.0, 19286.0, 19296.0, 19306.0, 19316.0, 19326.0, 19336.0, 19346.0, 19356.0, 19366.0, 19376.0, 19386.0, 19396.0, 19406.0, 19416.0, 19426.0, 19436.0, 19446.0, 19456.0, 19466.0, 19476.0, 19486.0, 19496.0, 19506.0, 19516.0, 19526.0, 19536.0, 19546.0, 19556.0, 19566.0, 19576.0, 19586.0, 19596.0, 19606.0, 19616.0, 19626.0, 19636.0, 19646.0, 19656.0, 19666.0, 19676.0, 19686.0, 19696.0, 19706.0, 19716.0, 19726.0, 19736.0, 19746.0, 19756.0, 19766.0, 19776.0, 19786.0, 19796.0, 19806.0, 19816.0, 19821]","Extended template","1","2447","2","yes","1024","Kop","[0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, -1.0, -4.0, -8.0, -10.0, -13.0, -22.0, -26.0, -32.0, -38.0, -57.0, -70.0, -84.0, -116.0, -129.0, -141.0, -153.0, -177.0, -189.0, -199.0, -209.0, -220.0, -225.0, -229.0, -237.0, -239.0, -242.0, -245.0, -250.0, -252.0, -253.0, -254.0, -257.0, -260.0, -263.0, -274.0, -280.0, -286.0, -298.0, -304.0, -309.0, -316.0, -331.0, -338.0, -345.0, -357.0, -358.0, -358.0, -359.0, -360.0, -361.0, -361.0, -362.0, -362.0, -363.0, -363.0, -363.0, -363.0, -363.0, -363.0, -362.0, -362.0]","[288, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 286.0, 270.0, 259.0, 249.0, 238.0, 214.0, 199.0, 182.0, 148.0, 134.0, 118.0, 103.0, 73.0, 57.0, 42.0, 10.0, -1.0, -13.0, -25.0, -48.0, -58.0, -64.0, -68.0, -74.0, -76.0, -77.0, -79.0, -80.0, -82.0, -83.0, -85.0, -86.0, -87.0, -87.0, -91.0, -93.0, -95.0, -103.0, -106.0, -109.0, -113.0, -115.0, -118.0, -120.0, -125.0, -128.0, -131.0, -137.0, -138.0, -138.0, -139.0, -142.0, -144.0, -145.0, -148.0, -150.0, -151.0, -153.0, -155.0, -155.0, -156.0, -157.0, -157.0, -157.0]"
"incongruent","33.333333333333336","yes","33.333333333333336","1092","1092","black","yes","xpyriment","Jeg har læst ovenstående information og har modtaget svar på alle spørgsmål jeg måtte have.","legacy","legacy","0","uniform","0","undefined","right_button","right_button","undefined","0","0","0","0","0","0","0","0","0","2","NA","0","0","0","NA","0","0","0","0","0","2","2","NA","5","NA","NA","0","0","0","2","2","5","2","2","Wed Dec  7 13:50:01 2022","A template containing a practice and an experimental phase","yes","mousetracking-exp.osexp","/Users/jakobthygesen/Desktop/Cognitive Science/3rd semester/Perception and action/PercActExam","no","no","mono","no","18","no","white","no","Enig","no","768","270","270","legacy","lyssestage_lys.jpg","2","0","2","/Users/jakobthygesen/Desktop/Cognitive Science/3rd semester/Perception and action/PercActExam/data/subject-0.csv","xpyriment","Lentiform Loewenfeld","3.3.12","yes","no","0","left_button","space","NA","NA","space","left_button","829","1038","NA","NA","1286","829","lyssværd_lys.png","2","legacy","lyssværd_ly.wav","1024","2","48000","-16","experiment","0","even","1408","13629","NA","NA","1350","NA","NA","12338","22525","NA","11093","NA","NA","NA","NA","NA","NA","10219","2452","21691","21691","NA","21589","NA","NA","13625","13629","NA","19869","19873","21388","21691","21179","[21695.0, 21705.0, 21715.0, 21725.0, 21735.0, 21745.0, 21755.0, 21765.0, 21775.0, 21785.0, 21795.0, 21805.0, 21815.0, 21825.0, 21835.0, 21845.0, 21855.0, 21865.0, 21875.0, 21885.0, 21895.0, 21905.0, 21915.0, 21925.0, 21935.0, 21945.0, 21955.0, 21965.0, 21975.0, 21985.0, 21995.0, 22005.0, 22015.0, 22025.0, 22035.0, 22045.0, 22055.0, 22065.0, 22075.0, 22085.0, 22095.0, 22105.0, 22115.0, 22125.0, 22135.0, 22145.0, 22155.0, 22165.0, 22175.0, 22185.0, 22195.0, 22207.0, 22217.0, 22227.0, 22237.0, 22247.0, 22257.0, 22267.0, 22277.0, 22287.0, 22297.0, 22307.0, 22317.0, 22327.0, 22337.0, 22347.0, 22357.0, 22367.0, 22377.0, 22387.0, 22397.0, 22407.0, 22417.0, 22427.0, 22437.0, 22447.0, 22457.0, 22467.0, 22477.0, 22487.0, 22497.0, 22507.0, 22517.0, 22524]","Extended template","1","3276","3","yes","1024","Cykel","[0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0, -1.0, -1.0, -1.0, -2.0, -2.0, -4.0, -6.0, -7.0, -10.0, -13.0, -18.0, -24.0, -43.0, -58.0, -73.0, -97.0, -154.0, -185.0, -220.0, -258.0, -327.0, -362.0, -408.0, -427.0, -442.0, -458.0, -462.0, -464.0, -467.0, -471.0, -473.0, -474.0, -475.0, -475.0, -475.0, -475.0, -475.0, -475.0, -475.0, -475.0, -475.0, -474.0, -474.0, -473.0, -472.0, -470.0, -466.0, -465.0, -464.0, -462.0, -461.0, -461.0, -460.0, -460.0, -460.0]","[288, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 287.0, 287.0, 286.0, 285.0, 284.0, 282.0, 276.0, 273.0, 270.0, 262.0, 257.0, 251.0, 244.0, 227.0, 218.0, 208.0, 190.0, 149.0, 125.0, 103.0, 79.0, 33.0, 10.0, -30.0, -51.0, -70.0, -96.0, -107.0, -116.0, -125.0, -138.0, -143.0, -146.0, -148.0, -148.0, -149.0, -149.0, -149.0, -149.0, -149.0, -149.0, -149.0, -149.0, -149.0, -149.0, -150.0, -152.0, -157.0, -159.0, -161.0, -163.0, -166.0, -167.0, -168.0, -168.0, -168.0]"
"incongruent","50","yes","50","1161","1161","black","yes","xpyriment","Jeg har læst ovenstående information og har modtaget svar på alle spørgsmål jeg måtte have.","legacy","legacy","0","uniform","1","undefined","left_button","left_button","undefined","1","0","0","0","0","0","0","0","0","3","NA","0","0","0","NA","0","0","0","0","0","3","3","NA","7","NA","NA","0","0","0","3","3","7","3","3","Wed Dec  7 13:50:01 2022","A template containing a practice and an experimental phase","yes","mousetracking-exp.osexp","/Users/jakobthygesen/Desktop/Cognitive Science/3rd semester/Perception and action/PercActExam","no","no","mono","no","18","no","white","no","Enig","no","768","500","500","legacy","rokke_rå.jpg","3","0","3","/Users/jakobthygesen/Desktop/Cognitive Science/3rd semester/Perception and action/PercActExam/data/subject-0.csv","xpyriment","Lentiform Loewenfeld","3.3.12","yes","no","0","left_button","space","NA","NA","space","left_button","1368","1038","NA","NA","1286","1368","råkost_rå.JPG","2","legacy","rokke_ro.wav","1024","2","48000","-16","experiment","0","even","1408","13629","NA","NA","1350","NA","NA","12338","25769","NA","11093","NA","NA","NA","NA","NA","NA","10219","2452","24400","24400","NA","24298","NA","NA","13625","13629","NA","22573","22577","24098","24400","23888","[24401.0, 24411.0, 24421.0, 24431.0, 24441.0, 24451.0, 24461.0, 24471.0, 24481.0, 24491.0, 24501.0, 24511.0, 24521.0, 24531.0, 24541.0, 24551.0, 24561.0, 24571.0, 24581.0, 24591.0, 24601.0, 24611.0, 24621.0, 24631.0, 24641.0, 24651.0, 24661.0, 24671.0, 24681.0, 24691.0, 24701.0, 24711.0, 24721.0, 24731.0, 24741.0, 24751.0, 24761.0, 24771.0, 24781.0, 24791.0, 24801.0, 24811.0, 24821.0, 24831.0, 24841.0, 24851.0, 24861.0, 24871.0, 24881.0, 24891.0, 24901.0, 24911.0, 24921.0, 24931.0, 24941.0, 24951.0, 24961.0, 24971.0, 24981.0, 24991.0, 25001.0, 25011.0, 25021.0, 25031.0, 25041.0, 25051.0, 25061.0, 25071.0, 25081.0, 25091.0, 25101.0, 25111.0, 25121.0, 25131.0, 25141.0, 25151.0, 25161.0, 25171.0, 25181.0, 25191.0, 25201.0, 25211.0, 25221.0, 25231.0, 25241.0, 25251.0, 25261.0, 25271.0, 25281.0, 25291.0, 25301.0, 25311.0, 25321.0, 25331.0, 25341.0, 25351.0, 25361.0, 25371.0, 25381.0, 25391.0, 25401.0, 25411.0, 25421.0, 25431.0, 25441.0, 25451.0, 25461.0, 25471.0, 25481.0, 25491.0, 25501.0, 25511.0, 25521.0, 25531.0, 25541.0, 25551.0, 25561.0, 25571.0, 25581.0, 25591.0, 25601.0, 25611.0, 25621.0, 25631.0, 25641.0, 25651.0, 25661.0, 25671.0, 25681.0, 25691.0, 25701.0, 25711.0, 25721.0, 25731.0, 25741.0, 25751.0, 25761.0, 25769]","Extended template","2","4644","4","yes","1024","Dans","[0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 2.0, 2.0, 3.0, 5.0, 5.0, 6.0, 7.0, 9.0, 12.0, 16.0, 26.0, 31.0, 36.0, 44.0, 52.0, 65.0, 69.0, 74.0, 71.0, 67.0, 61.0, 42.0, 31.0, 18.0, 0.0, -34.0, -56.0, -81.0, -141.0, -174.0, -203.0, -270.0, -303.0, -335.0, -369.0, -438.0, -471.0, -502.0, -512.0, -512.0, -512.0, -512.0, -512.0, -512.0, -512.0, -512.0, -512.0, -512.0, -512.0, -512.0, -512.0, -512.0, -512.0, -512.0, -512.0, -512.0, -512.0, -512.0, -512.0, -512.0, -512.0, -506.0, -500.0, -488.0, -483.0, -478.0, -467.0, -461.0, -455.0, -451.0, -445.0, -443.0, -440.0, -432.0, -432.0, -425.0, -423.0, -422.0, -422.0, -422.0, -422.0, -422.0, -422.0]","[288, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 288.0, 287.0, 286.0, 286.0, 280.0, 275.0, 269.0, 263.0, 248.0, 240.0, 230.0, 208.0, 199.0, 188.0, 177.0, 153.0, 139.0, 124.0, 108.0, 93.0, 59.0, 45.0, 15.0, 2.0, -11.0, -22.0, -44.0, -54.0, -62.0, -72.0, -87.0, -93.0, -97.0, -110.0, -117.0, -124.0, -136.0, -144.0, -152.0, -161.0, -181.0, -189.0, -194.0, -198.0, -198.0, -198.0, -198.0, -198.0, -198.0, -198.0, -198.0, -198.0, -198.0, -198.0, -198.0, -198.0, -198.0, -198.0, -198.0, -198.0, -198.0, -198.0, -198.0, -198.0, -198.0, -217.0, -218.0, -220.0, -221.0, -221.0, -222.0, -225.0, -226.0, -227.0, -228.0, -228.0, -228.0, -228.0, -227.0, -227.0, -227.0, -227.0, -227.0, -227.0, -227.0, -227.0, -227.0, -227.0]"
